Data_Status,MSN,StateCode,Year,Data
"2023F","ABICB","DC","2017",0
"2023F","ABICB","DC","2018",0
"2023F","ABICB","DC","2019",0
"2023F","ABICB","DC","2020",0
"2023F","ABICB","DC","2021",0
"2023F","ABICB","DC","2022",0
"2023F","ABICB","DC","2023",0
"2023F","ABICB","DE","1960",0
"2023F","ABICB","DE","1961",0
"2023F","ABICB","DE","1962",0
"2023F","ABICB","DE","1963",0
"2023F","ABICB","DE","1964",0
"2023F","ABICB","DE","1965",0
"2023F","ABICB","DE","1966",0
"2023F","ABICB","DE","1967",0
"2023F","ABICB","DE","1968",0
"2023F","ABICB","DE","1969",0
"2023F","ABICB","DE","1970",0
"2023F","ABICB","DE","1971",0
"2023F","ABICB","DE","1972",0
"2023F","ABICB","DE","1973",0
"2023F","ABICB","DE","1974",0
"2023F","ABICB","DE","1975",0
"2023F","ABICB","DE","1976",0
"2023F","ABICB","DE","1977",0
"2023F","ABICB","DE","1978",0
"2023F","ABICB","DE","1979",0
"2023F","ABICB","DE","1980",0
"2023F","ABICB","DE","1981",45
"2023F","ABICB","DE","1982",46
"2023F","ABICB","DE","1983",7
"2023F","ABICB","DE","1984",1
"2023F","ABICB","DE","1985",37
"2023F","ABICB","DE","1986",5
"2023F","ABICB","DE","1987",0
"2023F","ABICB","DE","1988",-10
"2023F","ABICB","DE","1989",1
"2023F","ABICB","DE","1990",2
"2023F","ABICB","DE","1991",-1
"2023F","ABICB","DE","1992",1
"2023F","ABICB","DE","1993",1
"2023F","ABICB","DE","1994",57
"2023F","ABICB","DE","1995",49
"2023F","ABICB","DE","1996",64
"2023F","ABICB","DE","1997",82
"2023F","ABICB","DE","1998",39
"2023F","ABICB","DE","1999",62
"2023F","ABICB","DE","2000",38
"2023F","ABICB","DE","2001",65
"2023F","ABICB","DE","2002",80
"2023F","ABICB","DE","2003",78
"2023F","ABICB","DE","2004",109
"2023F","ABICB","DE","2005",92
"2023F","ABICB","DE","2006",7
"2023F","ABICB","DE","2007",19
"2023F","ABICB","DE","2008",1
"2023F","ABICB","DE","2009",0
"2023F","ABICB","DE","2010",0
"2023F","ABICB","DE","2011",0
"2023F","ABICB","DE","2012",0
"2023F","ABICB","DE","2013",-4
"2023F","ABICB","DE","2014",-1
"2023F","ABICB","DE","2015",-3
"2023F","ABICB","DE","2016",-3
"2023F","ABICB","DE","2017",-2
"2023F","ABICB","DE","2018",-15
"2023F","ABICB","DE","2019",-12
"2023F","ABICB","DE","2020",-7
"2023F","ABICB","DE","2021",-8
"2023F","ABICB","DE","2022",-6
"2023F","ABICB","DE","2023",-6
"2023F","ABICB","FL","1960",0
"2023F","ABICB","FL","1961",0
"2023F","ABICB","FL","1962",0
"2023F","ABICB","FL","1963",0
"2023F","ABICB","FL","1964",0
"2023F","ABICB","FL","1965",0
"2023F","ABICB","FL","1966",0
"2023F","ABICB","FL","1967",0
"2023F","ABICB","FL","1968",0
"2023F","ABICB","FL","1969",0
"2023F","ABICB","FL","1970",0
"2023F","ABICB","FL","1971",0
"2023F","ABICB","FL","1972",0
"2023F","ABICB","FL","1973",0
"2023F","ABICB","FL","1974",0
"2023F","ABICB","FL","1975",0
"2023F","ABICB","FL","1976",0
"2023F","ABICB","FL","1977",0
"2023F","ABICB","FL","1978",0
"2023F","ABICB","FL","1979",0
"2023F","ABICB","FL","1980",0
"2023F","ABICB","FL","1981",0
"2023F","ABICB","FL","1982",0
"2023F","ABICB","FL","1983",0
"2023F","ABICB","FL","1984",0
"2023F","ABICB","FL","1985",3
"2023F","ABICB","FL","1986",1
"2023F","ABICB","FL","1987",0
"2023F","ABICB","FL","1988",0
"2023F","ABICB","FL","1989",0
"2023F","ABICB","FL","1990",0
"2023F","ABICB","FL","1991",0
"2023F","ABICB","FL","1992",0
"2023F","ABICB","FL","1993",0
"2023F","ABICB","FL","1994",0
"2023F","ABICB","FL","1995",0
"2023F","ABICB","FL","1996",0
"2023F","ABICB","FL","1997",0
"2023F","ABICB","FL","1998",0
"2023F","ABICB","FL","1999",0
"2023F","ABICB","FL","2000",0
"2023F","ABICB","FL","2001",0
"2023F","ABICB","FL","2002",0
"2023F","ABICB","FL","2003",0
"2023F","ABICB","FL","2004",0
"2023F","ABICB","FL","2005",0
"2023F","ABICB","FL","2006",0
"2023F","ABICB","FL","2007",0
"2023F","ABICB","FL","2008",0
"2023F","ABICB","FL","2009",0
"2023F","ABICB","FL","2010",0
"2023F","ABICB","FL","2011",0
"2023F","ABICB","FL","2012",0
"2023F","ABICB","FL","2013",0
"2023F","ABICB","FL","2014",0
"2023F","ABICB","FL","2015",0
"2023F","ABICB","FL","2016",0
"2023F","ABICB","FL","2017",0
"2023F","ABICB","FL","2018",0
"2023F","ABICB","FL","2019",0
"2023F","ABICB","FL","2020",0
"2023F","ABICB","FL","2021",0
"2023F","ABICB","FL","2022",0
"2023F","ABICB","FL","2023",0
"2023F","ABICB","GA","1960",0
"2023F","ABICB","GA","1961",0
"2023F","ABICB","GA","1962",0
"2023F","ABICB","GA","1963",0
"2023F","ABICB","GA","1964",0
"2023F","ABICB","GA","1965",0
"2023F","ABICB","GA","1966",0
"2023F","ABICB","GA","1967",0
"2023F","ABICB","GA","1968",0
"2023F","ABICB","GA","1969",0
"2023F","ABICB","GA","1970",0
"2023F","ABICB","GA","1971",0
"2023F","ABICB","GA","1972",0
"2023F","ABICB","GA","1973",0
"2023F","ABICB","GA","1974",0
"2023F","ABICB","GA","1975",0
"2023F","ABICB","GA","1976",0
"2023F","ABICB","GA","1977",0
"2023F","ABICB","GA","1978",0
"2023F","ABICB","GA","1979",0
"2023F","ABICB","GA","1980",0
"2023F","ABICB","GA","1981",9
"2023F","ABICB","GA","1982",9
"2023F","ABICB","GA","1983",1
"2023F","ABICB","GA","1984",0
"2023F","ABICB","GA","1985",9
"2023F","ABICB","GA","1986",1
"2023F","ABICB","GA","1987",0
"2023F","ABICB","GA","1988",0
"2023F","ABICB","GA","1989",0
"2023F","ABICB","GA","1990",0
"2023F","ABICB","GA","1991",0
"2023F","ABICB","GA","1992",0
"2023F","ABICB","GA","1993",0
"2023F","ABICB","GA","1994",2
"2023F","ABICB","GA","1995",2
"2023F","ABICB","GA","1996",3
"2023F","ABICB","GA","1997",3
"2023F","ABICB","GA","1998",1
"2023F","ABICB","GA","1999",8
"2023F","ABICB","GA","2000",1
"2023F","ABICB","GA","2001",2
"2023F","ABICB","GA","2002",2
"2023F","ABICB","GA","2003",2
"2023F","ABICB","GA","2004",0
"2023F","ABICB","GA","2005",0
"2023F","ABICB","GA","2006",0
"2023F","ABICB","GA","2007",0
"2023F","ABICB","GA","2008",0
"2023F","ABICB","GA","2009",0
"2023F","ABICB","GA","2010",0
"2023F","ABICB","GA","2011",0
"2023F","ABICB","GA","2012",0
"2023F","ABICB","GA","2013",0
"2023F","ABICB","GA","2014",0
"2023F","ABICB","GA","2015",0
"2023F","ABICB","GA","2016",0
"2023F","ABICB","GA","2017",0
"2023F","ABICB","GA","2018",0
