"MAC","weekday","fecha_servidor","fecha_esp32","voltaje","corriente","potencia","frecuencia","energia","fp","ESP32_temp","WORKSTATION_CPU","WORKSTATION_CPU_POWER","WORKSTATION_CPU_TEMP","WORKSTATION_GPU","WORKSTATION_GPU_POWER","WORKSTATION_GPU_TEMP","WORKSTATION_RAM","WORKSTATION_RAM_POWER"
"3C:61:05:12:96:30","3","2021-05-05 22:14:56","2021-05-05 22:14:56","120","1.04","111.6","60","0.02","0.9","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:14:56","2021-05-05 22:14:56","120","1.01","107.5","60","0.02","0.89","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:14:57","2021-05-05 22:14:57","120","1.01","107.5","60","0.02","0.89","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:14:58","2021-05-05 22:14:58","120","1.01","107.9","60","0.02","0.89","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:14:59","2021-05-05 22:14:59","120","0.95","98.4","60","0.02","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:00","2021-05-05 22:15:00","120","0.95","98.4","60","0.02","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:00","2021-05-05 22:15:00","120","0.99","104.3","60","0.02","0.88","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:01","2021-05-05 22:15:01","120","0.99","104.3","60","0.02","0.88","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:01","2021-05-05 22:15:01","120","1.04","113.4","60","0.02","0.91","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:02","2021-05-05 22:15:02","120","1.04","113.4","60","0.02","0.91","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:02","2021-05-05 22:15:02","120","0.99","104.8","60","0.02","0.88","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:03","2021-05-05 22:15:03","120","0.99","104.8","60","0.02","0.88","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:04","2021-05-05 22:15:04","120","0.99","104.8","60","0.02","0.88","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:04","2021-05-05 22:15:04","120","1.07","115.7","60","0.02","0.9","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:05","2021-05-05 22:15:05","120","1.07","115.7","60","0.02","0.9","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:05","2021-05-05 22:15:05","120.1","0.96","101.8","60","0.02","0.88","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:06","2021-05-05 22:15:06","120.1","0.96","101.8","60","0.02","0.88","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:06","2021-05-05 22:15:06","120","0.94","97.3","60","0.02","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:07","2021-05-05 22:15:07","120","0.94","97.3","60","0.02","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:08","2021-05-05 22:15:08","120.1","0.95","98.2","60","0.02","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:09","2021-05-05 22:15:09","120.1","0.95","98.2","60","0.02","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:09","2021-05-05 22:15:09","120","0.95","99","60","0.02","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:10","2021-05-05 22:15:10","120","0.95","99","60","0.02","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:10","2021-05-05 22:15:10","120","0.94","96.8","60","0.02","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:11","2021-05-05 22:15:11","120","0.94","96.8","60","0.02","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:11","2021-05-05 22:15:11","120.1","0.96","101.1","60","0.02","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:12","2021-05-05 22:15:12","120.1","0.96","101.1","60","0.02","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:13","2021-05-05 22:15:13","120","1.02","110.1","60","0.02","0.9","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:14","2021-05-05 22:15:14","120","1.02","110.1","60","0.02","0.9","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:14","2021-05-05 22:15:14","120","0.94","96.3","60","0.02","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:15","2021-05-05 22:15:15","120","0.94","96.3","60","0.02","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:15","2021-05-05 22:15:15","120.1","0.94","97","60","0.02","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:16","2021-05-05 22:15:16","120.1","0.94","97","60","0.02","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:17","2021-05-05 22:15:17","120","0.94","97.9","60","0.02","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:18","2021-05-05 22:15:18","120","0.94","97.9","60","0.02","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:18","2021-05-05 22:15:18","120","0.94","97.6","60","0.02","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:19","2021-05-05 22:15:19","120","0.94","97.6","60","0.02","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:19","2021-05-05 22:15:19","120","0.98","103.6","60","0.02","0.88","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:20","2021-05-05 22:15:20","120","0.98","103.6","60","0.02","0.88","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:20","2021-05-05 22:15:20","120.1","0.95","98.9","60","0.02","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:21","2021-05-05 22:15:21","120.1","0.95","98.9","60","0.02","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:22","2021-05-05 22:15:22","120.1","0.95","98.9","60","0.02","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:22","2021-05-05 22:15:22","120","0.98","103.6","60","0.02","0.89","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:23","2021-05-05 22:15:23","120","0.98","103.6","60","0.02","0.89","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:23","2021-05-05 22:15:23","120","0.94","96.7","60","0.02","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:24","2021-05-05 22:15:24","120","0.94","96.7","60","0.02","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:24","2021-05-05 22:15:24","120.1","0.95","99.5","60","0.02","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:25","2021-05-05 22:15:25","120.1","0.95","99.5","60","0.02","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:26","2021-05-05 22:15:26","120.1","0.94","97.3","60","0.02","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:27","2021-05-05 22:15:27","120.1","0.94","97.3","60","0.02","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:27","2021-05-05 22:15:27","120","0.94","97.9","60","0.02","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:28","2021-05-05 22:15:28","120","0.94","97.9","60","0.02","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:15:28","2021-05-05 22:15:28","120.1","0.95","99.3","60","0.02","0.87","0","0","0","0","0","0","0","0","0"
